sentence,label
子胡蘿蔔湯則是筍子及木耳熬煮的湯很清爽朋友說這家的料理方式有,0
美麗吃起來不油膩且十分爽口兩個人會有一份小菜昨日的小菜是木耳筍,0
但整體價錢上都直得推薦啊,1
蕃茄清湯我真的不想稱他為羅宋湯因為我翻了很久除了滿鍋蔬菜就是沒看到牛肉XD,0
有用鬱金香粉炒過不過我看著我的焗飯怎麼也覺得好像也炒過鬱金香粉,0
6其實現在台灣進口的一點都不好吃以前很久以前糕更香濃我第一次吃到,0
他的蜜汁燒烤甜度適中非常的好吃而且味道很香光聞味道就夠讓你留口水了,1
土瓶蒸的味道也還好比我的好一點不過有一點苦味在喉嚨裡,1
不過他們的醬汁好像有點兒蘑菇醬的味道不完全是我愛的白醬味,0
我個人喝酥皮湯的習慣不會將酥皮整個浸到湯汁裡我偏愛一口酥皮搭配一口湯,1
大桶的野薑花而個別的廁所裡也有總之整間廁所的野薑花香十分濃郁,0
東西種類非常的少,1
直覺是放大版的台灣毛蟹現在我一點都不想花錢去吃因為現在近口的品質,0
5我已經快忘記他的味道了不是買不到是因為現在大部份都養殖的,0
我挑的是櫻桃醬本來想像的口感是稍微偏酸的但其實不是口味算是中規中矩,1
前一陣子在宏揚路上一間天使洗衣店門口有個老婆婆魯味也滿好吃的,1
J的主菜是焗海鮮飯香濃的起司份量不少的海鮮,1
孜然羊肉串好吃扇貝皇帝螺整顆烤等等,1
費的附湯飲料也可感到老闆的用心而且每吃過一道,1
但是沙公的糕那獨特的香味真是棒阿,0
另外再叫一些點心叉燒酥很好吃前提是要吃剛出爐的,1
可以煮出有史以來前所未有震驚世人無可匹敵的難吃拉麵,1
不相同深色的是酸梅汁味道紮實,1
沙公的肉質一定比沙母的香甜也就是沙公比較貴的原因,0
這家餐廳位於民國路上永昌堂中藥店的二樓沒有招牌只有中藥店的,0
會遇冷就很快結塊,0
跟一些我不認識它的菜水果都很甜但可惜的是蔬菜有些吃起來會苦,1
而且所有用豬肉製成的火鍋料都有一個臭味,1
價位範圍每人２３０以上,0
另外廁所也很不錯唷很喜歡觀察別人的廁所哈洗手抬旁插了一,0
看它的外觀跟普通的中藥店不同佈置的古色古香很不錯,0
我的濃湯一點味道登沒有不知道是忘記放鹽還是主食的味道過重一點都不好喝,1
順便講講好了Orz肉質甜細緻建議清蒸生魚片口感Q煮湯或侷烤等重口味,0
盅以及水果一大甕不誇張水果真的很大一甕檸檬香煎雞腿是由檸檬,0
雖然剛開始會覺得咦這是燴飯嗎？但是稍微拌過會發現每一粒米飯都平均附著上,0
這間店是我朋友的朋友介紹我去的因為他以前在嘉義是開餐廳的,0
找機會再去吃吃看,0
果不其然一顆顆金黃長型的飯粒嚐起來味道的確是不一樣配著醬汁還真是不錯,0
挖屋上餐真快但是,1
焗海鮮飯而最特別的,1
蔬菜濃湯其實就是把紅蘿蔔和其他蔬菜打成細末煮成濃湯,0
也是肉質最好的地方如果想改變對他的印象去趟富基漁港就知道了,0
的口味再高級一點就是門卡迪了我喜歡cream感覺誇張一點就是要很juicy,0
原來沒有味道的肉那麼噁心,1
我大概是看了圖片很漂亮才點的鮭魚飯團上面淋上蕃茄醬和蜂蜜芥末醬味道普通,1
先送上養生茶不過我喝不出來是什麼哈餐點有飯一碗主菜一份湯一,0
喝了一口無糖綠媽呀果然是便宜貨苦澀自然是不在話下,0
價格比這家還貴卻是又少又噁心的感覺囧rz,1
至於她們賣的魯味也是一級棒特別是喜歡她們的醬汁搭配她們的魯味鹹鹹的非常對味,1
另外他們的料也給得不小氣有高麗菜紅蘿蔔小玉米香菇蘑菇還有秋葵驚,0
開放式的部分有生菜沙拉生菜的部分有加冰塊感覺還蠻新鮮的,1
醬汁我就是喜歡這種介於飯和燴飯之間的感覺,0
1有紅尋特別的香味肉質屬於飽滿的但不是螃蟹中最甜,0
就是愛有點脆有點軟的口感阿,1
但是每次都吃的很撐才在後悔怎麼叫這麼多就是了XD,1
用烤的酥脆的法國麵包上製放以橄欖油攪拌均勻的蕃茄丁大蒜和蘿勒略帶酸甜再灑上parmesancheese提味這一冷一熱的交錯倒也是清爽的開胃菜,1
女服務生是不耐煩的回我們要再等一下,1
簾子直直往裡走上樓梯到二樓一進到二樓就是一個不同的空間相當地,0
其中杏仁露超濃郁的,1
但是便宜歸便宜地瓜也是超好吃的唷真不知該怎麼形容地瓜的好吃耶,1
再來是重點飯與醬料的完美搭配我很看重這一點目前評價焗飯只有水龍頭合乎我,0
檸檬水不錯但有點兒檸檬的苦湯每天都會供應兩種今天的是番茄清湯和蔬菜濃湯,0
海鮮味之外還有不被蓋掉,1
ps老闆跟老闆娘看起來有點'呆呆'的就是但重點是東西好吃啦,1
parmesancheese提味這一冷一熱的交錯倒也是清爽的開胃菜,1
能迅速帶位也能詳細解釋餐點與用餐形式,0
看起來醃得不甚入味菜看起來很生所以才放得多味道才夠,1
大人會捨不得給小孩吃的唷好吃到無法形容比到大陸吃頂級大閘蟹還棒,0
此也有值得一提之處,1
香茅為香料的一道菜雞腿皮煎的酥脆肉鮮嫩多汁；酒釀鮭魚則是由甜酒釀,0
不過可以確定的是入口時有奶香大概是鮮奶油效應但我這愛濃稠口感的卻覺得可,0
我一向喜歡冷飲又不喜歡咖啡點果汁在我的年齡與性別好像怪怪的所以選紅茶茶的味道普通,1
其實店裡的藥材也蠻新鮮的唷如果有需要中藥是也可以買一下啦還有店,0
進去中藥店可以不用理掌櫃的阿不是啦是裡頭抓藥或把脈的穿過,0
小的一份才25元裝的超多爆米花的裝到袋子都快跟爆米花一樣爆開了,1
唉跟以往大不相同了最早是可以請親戚去完順便帶回`來的,0
當然我硬著頭皮把它喝完便宜貨還是能去油解膩呀XD算了算除了廚師外場大概只有三四個吧,0
去消費的時候明明點豬肉裡面卻還有已經退冰到爛掉的羊肉或牛肉,1
雖然才剛開幕不久對於上菜時間還是能掌握得宜,0
就如名字他有賣糖地瓜也有賣魯味兩樣都很好吃重點是--超便宜,1
服務態度很好點菜換網都很快,1
而沙母的卵香是香但似乎有點普通,0
但是仍然不來我們的態度沒有很強硬或是不得當,1
至於裡面的糕SOSO啦主打肉質,0
她們的蔥抓餅會加九層塔做起來很香很好吃說老闆也很風趣,1
最後當然打了85折我只花了NT136,0
肉羹也真的是肉下去做的不是魚漿混碎肉做出來的,1
前一天事先預定的原因其他餐點我朋友說也都很好吃所以我下一次應該會,0
餐點的價位大概是２３０以上有兩道菜必須提前一天預定才吃得到對我,0
2肉質比沙公母更甜且細緻但並沒有獨特香味肉質不屬於飽滿的,0
但是以價位來說實在太貴,1
說真的這是家口味雖然不太好,1
雞腿酒釀鮭魚以及麥冬ＸＸ焢肉ＸＸ是因為我忘記名字了坐定位後會,0
同樣宏揚路上也是在辣熱魯對面的蔥抓餅也很好吃唷,1
講一句實在的話無論肉或糕都有很棒的香味絕對不輸大閘蟹,0
加上老闆娘的態度實在不敢領教,1
鳥地方吃到南瓜麵讓我有點懼怕南瓜的經驗這一次的南瓜濃湯本想全由SHIRO解決但看,1
紹位置不多但去的幾乎都是熟客所以最好是事先預約,0
製味道十分特殊不知道怎麼形容；而焢肉光用看的就垂涎欲滴顏色非常的,0
醋飯握的稍微差了些不過至少不會死硬白肉魚和,1
今天的消費確實讓我很滿意也覺得很開心喬治義大利麵的價格雖然比義麵坊貴了些但,1
太單薄了與魚肉相較少了一股深遂與富含內蘊的飽滿感覺這說起來很玄,1
之後完全不理會我們不送食材給我們或是故意讓我們等上一個小時,1
焗飯份量和水龍頭差不多不過他們的焗飯和師大夜市其他簡餐店不一樣,0
3我已經忘記國語叫什麼了殼很硬但肉質跟三點比更勝出,0
順道一提這家店原址就是溫厚店內氣氛明亮座位數大約有50吧晚餐時間客人也不少坐了六成滿還有外帶的XD菜單上除了套餐就是飲品套餐附湯和飲料,0
但口感實在有點像快餐店的炸排骨幸好裡頭的牛肉還不錯而上頭也是舖,1
噁的不得了服務員都還不知,1
雖然都是切薄片和切細不過一來容易入口二來雖小片但整盤料多實在,0
麻辣鍋底還蠻香的但我覺得還是不夠辣我們點中辣,1
首先是起士皮坦白說愛死起士的我並不滿意它只有淡淡的味道但牽絲能力很夠也不,0
些偏港式因為都是以較費時的熬煮方式來料理這也是為什麼會有兩道菜需要,0
麵放一旁保溫等到客人點餐時再伴炒醬料口感盡失,1
我只能說油而且飯太軟我選的是去冰的奶綠當服務生端上一杯綠茶還有奶油球和糖漿罐時我就暗暗叫苦了,0
今天的焗飯真是深得我心啊我覺得是我吃過的焗飯裡最juicy樂,0
真的是甜香飽滿樣樣都顧到了糕也是屬於SOSO的,0
還不錯的餐廳一個人七百多到九百的消費是有點小貴但是牛肉的肉質應值回票價,1
鴨血很嫩但大小控制得不太好有些切得過大而無味,1
